Subclass	Superfamily	Family	nb_of_insertion	Min_TE_length	Max_TE_length	Female_Counts	Female_nb_of_expressed_insertion	Female_most_expressed_insertion	Male_Counts	Male_nb_of_expressed_insertion	Male_most_expressed_insertion
LTR	Gypsy	Stalker2_I	22	173	7757	1	1	Stalker2_I$3R_RaGOO$12477203$12482106	7	3	Stalker2_I$2R_RaGOO$1101724$1102232
LTR	Gypsy	Gypsy9_LTR	7	308	8888	0	0	Gypsy9_LTR$2R_RaGOO$1135269$1135576	21	2	Gypsy9_LTR$3L_RaGOO$24678043$24682992
LINE	I-Jockey	HETA	15	868	8921	8	4	HETA$3L_RaGOO$18403$20679	734	14	HETA$3L_RaGOO$18403$20679
LTR	Gypsy	Gypsy10_LTR	18	206	6910	1	1	Gypsy10_LTR$3L_RaGOO$25848497$25848858	1	1	Gypsy10_LTR$2R_RaGOO$4103854$4104174
LTR	Pao	BATUMI_LTR	17	199	15406	2	1	BATUMI_LTR$2R_RaGOO$3169212$3182879	8	5	BATUMI_LTR$2R_RaGOO$3169212$3182879
LTR	Gypsy	Gypsy11_LTR	16	157	5166	2	1	Gypsy11_LTR$2R_RaGOO$1478181$1482030	0	0	Gypsy11_LTR$2R_RaGOO$1478181$1482030
LTR	Gypsy	Gypsy1-I_DM	28	219	10442	1	1	Gypsy1-I_DM$3L_RaGOO$23197800$23202268	3	3	Gypsy1-I_DM$3L_RaGOO$24127725$24132950
LTR	Gypsy	TABOR_LTR	8	176	7256	0	0	TABOR_LTR$2R_RaGOO$1842344$1849567	2	2	TABOR_LTR$2R_RaGOO$1855147$1862128
LINE	I-Jockey	BS4_DM	2	740	751	0	0	BS4_DM$2R_RaGOO$1899007$1899746	2	1	BS4_DM$3R_RaGOO$4052534$4053284
LTR	Gypsy	Gypsy3_LTR	10	175	421	0	0	Gypsy3_LTR$2R_RaGOO$1903277$1903687	0	0	Gypsy3_LTR$2R_RaGOO$1903277$1903687
DNA	PiggyBac	LOOPER1_DM	9	331	2478	0	0	LOOPER1_DM$2R_RaGOO$1961882$1962558	1	1	LOOPER1_DM$2R_RaGOO$3949985$3952462
LTR	Gypsy	Chouto_LTR	14	338	6939	0	0	Chouto_LTR$2R_RaGOO$2008921$2009533	5	4	Chouto_LTR$3R_RaGOO$2874586$2881082
LTR	Copia	FROGGER_I	14	281	3188	0	0	FROGGER_I$2R_RaGOO$2100708$2103892	0	0	FROGGER_I$2R_RaGOO$2100708$2103892
LTR	Gypsy	BLOOD_I	5	268	6709	0	0	BLOOD_I$2R_RaGOO$2144414$2146036	1	1	BLOOD_I$3R_RaGOO$1043809$1050517
LTR	Gypsy	TRANSPAC_I	3	245	4732	0	0	TRANSPAC_I$2R_RaGOO$2176840$2177158	3	1	TRANSPAC_I$3R_RaGOO$26707140$26711871
LTR	Gypsy	TLD2	8	157	388	0	0	TLD2$2R_RaGOO$2285180$2285368	0	0	TLD2$2R_RaGOO$2285180$2285368
LTR	Copia	DM1731_LTR	5	286	4566	1	1	DM1731_LTR$2R_RaGOO$2383388$2383715	32	1	DM1731_LTR$3L_RaGOO$24209333$24213898
LINE	I-Jockey	G7_DM	8	191	1192	0	0	G7_DM$2R_RaGOO$2506062$2506252	6	2	G7_DM$X_RaGOO$16783041$16783563
LTR	Gypsy	BLASTOPIA_LTR	8	3038	5029	6	5	BLASTOPIA_LTR$3L_RaGOO$23460661$23465627	136	8	BLASTOPIA_LTR$2R_RaGOO$2878638$2883652
LTR	Gypsy	MDG3_I	9	165	3802	1	1	MDG3_I$3L_RaGOO$23805694$23806815	1	1	MDG3_I$3L_RaGOO$23805694$23806815
DNA	TcMar-Tc1	MINOS	10	168	1544	0	0	MINOS$2R_RaGOO$4249802$4251345	1	1	MINOS$3L_RaGOO$23080784$23080951
DNA	MULE-NOF	NOF_FB	5	153	4736	0	0	NOF_FB$2R_RaGOO$5395334$5397435	1	1	NOF_FB$2R_RaGOO$5409943$5414678
LTR	Gypsy	Stalker2_LTR	8	153	7965	5	4	Stalker2_LTR$3L_RaGOO$22813949$22821659	1	1	Stalker2_LTR$2R_RaGOO$15238139$15244515
LTR	Unknown	DMRPR	7	154	283	0	0	DMRPR$3L_RaGOO$11389027$11389309	16	1	DMRPR$3L_RaGOO$11389027$11389309
DNA	P	PLACW_DM	1	928	928	2	1	PLACW_DM$3L_RaGOO$13917593$13918520	1	1	PLACW_DM$3L_RaGOO$13917593$13918520
LTR	Gypsy	Gypsy7_I	31	176	8624	1	1	Gypsy7_I$3L_RaGOO$25724750$25729257	0	0	Gypsy7_I$3L_RaGOO$23826758$23829919
LTR	Gypsy	Chimpo_I	5	1166	4154	1	1	Chimpo_I$4_RaGOO$776018$780171	0	0	Chimpo_I$3L_RaGOO$24683105$24684455
LTR	Unknown	FUSHI_DM	1	154	154	0	0	FUSHI_DM$3R_RaGOO$6278611$6278764	0	0	FUSHI_DM$3R_RaGOO$6278611$6278764
LTR	Unknown	ARS406_DM	4	194	256	0	0	ARS406_DM$X_RaGOO$9619999$9620210	0	0	ARS406_DM$X_RaGOO$9619999$9620210
DNA	RC	Helitron1_DM	1	564	564	0	0	Helitron1_DM$X_RaGOO$21992722$21993285	0	0	Helitron1_DM$X_RaGOO$21992722$21993285
LINE	R2	R2_DM	3	268	567	0	0	R2_DM$X_RaGOO$21996205$21996472	0	0	R2_DM$X_RaGOO$21996205$21996472
